Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
L'VIV,"1,295,000",613.55,"2,111",Mar-22,NEWTON ROAD,Resale,Strata,57,"22,719",-,Apartment,1,Freehold,11,Core Central Region,16 to 20
28 RC SUITES,"1,028,000",807.3,"1,273",Mar-22,RACE COURSE LANE,Resale,Strata,75,"13,707",-,Apartment,1,Freehold,08,Rest of Central Region,06 to 10
KOVAN MELODY,"1,128,000",904.18,"1,248",Mar-22,KOVAN ROAD,Resale,Strata,84,"13,429",-,Condominium,1,99 yrs lease commencing from 2004,19,Outside Central Region,01 to 05
REGENCY PARK,"4,180,000","2,249.68","1,858",Mar-22,NATHAN ROAD,Resale,Strata,209,"20,000",-,Condominium,1,Freehold,10,Core Central Region,01 to 05
FABER CREST,"1,420,000","1,248.62","1,137",Mar-22,FABER HEIGHTS,Resale,Strata,116,"12,241",-,Condominium,1,99 yrs lease commencing from 1996,05,Outside Central Region,01 to 05
TURQUOISE,"3,254,850","2,411.14","1,350",Mar-22,COVE DRIVE,Resale,Strata,224,"14,531",-,Condominium,1,99 yrs lease commencing from 2007,04,Core Central Region,01 to 05
KINGSFORD WATERBAY,"790,000",688.9,"1,147",Mar-22,UPPER SERANGOON VIEW,Resale,Strata,64,"12,344",-,Apartment,1,99 yrs lease commencing from 2014,19,Outside Central Region,16 to 20
WATERTOWN,"822,000",527.44,"1,558",Mar-22,PUNGGOL CENTRAL,Resale,Strata,49,"16,776",-,Apartment,1,99 yrs lease commencing from 2011,19,Outside Central Region,11 to 15
COSTA DEL SOL,"2,211,111","1,313.21","1,684",Mar-22,BAYSHORE ROAD,Resale,Strata,122,"18,124",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,16 to 20
THE CAPRI,"1,900,000","1,539.25","1,234",Mar-22,STEVENS ROAD,Resale,Strata,143,"13,287",-,Apartment,1,Freehold,10,Core Central Region,01 to 05
EIGHT RIVERSUITES,"1,050,000",699.66,"1,501",Mar-22,WHAMPOA EAST,Resale,Strata,65,"16,154",-,Condominium,1,99 yrs lease commencing from 2011,12,Rest of Central Region,01 to 05
JEWEL @ BUANGKOK,"738,000",495.14,"1,490",Mar-22,COMPASSVALE BOW,Resale,Strata,46,"16,043",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,01 to 05
SELETAR SPRINGS CONDOMINIUM,"1,860,000","2,066.69",900,Mar-22,GERALD DRIVE,Resale,Strata,192,"9,688",-,Condominium,1,99 yrs lease commencing from 1997,28,Outside Central Region,01 to 05
THE SPINNAKER,"2,230,000","1,270.15","1,756",Mar-22,SUFFOLK ROAD,Resale,Strata,118,"18,898",-,Apartment,1,Freehold,11,Core Central Region,11 to 15
FOREST WOODS,"840,000",516.67,"1,626",Mar-22,LORONG LEW LIAN,Resale,Strata,48,"17,500",-,Condominium,1,99 yrs lease commencing from 2016,19,Outside Central Region,01 to 05
SERAYA VILLE,"1,750,000","1,345.5","1,301",Mar-22,SERAYA LANE,Resale,Strata,125,"14,000",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
3 ORCHARD BY-THE-PARK,"6,800,000","1,862.17","3,652",Mar-22,ORCHARD BOULEVARD,Resale,Strata,173,"39,306",-,Condominium,1,Freehold,10,Core Central Region,21 to 25
VERSILIA ON HAIG,"1,920,000","1,130.22","1,699",Mar-22,IPOH LANE,Resale,Strata,105,"18,286",-,Condominium,1,Freehold,15,Rest of Central Region,06 to 10
THE INFLORA,"590,000",462.85,"1,275",Mar-22,FLORA DRIVE,Resale,Strata,43,"13,721",-,Condominium,1,99 yrs lease commencing from 2012,17,Outside Central Region,06 to 10
CASPIAN,"1,108,000",871.88,"1,271",Mar-22,LAKESIDE DRIVE,Resale,Strata,81,"13,679",-,Condominium,1,99 yrs lease commencing from 2008,22,Outside Central Region,16 to 20
THE PEAK @ CAIRNHILL II,"1,705,200",904.18,"1,886",Mar-22,CAIRNHILL CIRCLE,Resale,Strata,84,"20,300",-,Apartment,1,Freehold,09,Core Central Region,06 to 10
BARTLEY RESIDENCES,"720,000",462.85,"1,556",Mar-22,LORONG HOW SUN,Resale,Strata,43,"16,744",-,Apartment,1,99 yrs lease commencing from 2011,19,Outside Central Region,01 to 05
PARC ROSEWOOD,"585,000",430.56,"1,359",Mar-22,ROSEWOOD DRIVE,Resale,Strata,40,"14,625",-,Condominium,1,99 yrs lease commencing from 2011,25,Outside Central Region,01 to 05
CHANGI GREEN,"1,150,000","1,001.05","1,149",Mar-22,UPPER CHANGI ROAD EAST,Resale,Strata,93,"12,366",-,Condominium,1,Freehold,16,Outside Central Region,01 to 05
THE MARQ ON PATERSON HILL,"13,600,000","3,089.27","4,402",Mar-22,PATERSON HILL,Resale,Strata,287,"47,387",-,Condominium,1,Freehold,09,Core Central Region,01 to 05
HIGHLINE RESIDENCES,"1,480,000",667.37,"2,218",Mar-22,KIM TIAN ROAD,Resale,Strata,62,"23,871",-,Condominium,1,99 yrs lease commencing from 2013,03,Rest of Central Region,06 to 10
FLO RESIDENCE,"840,000",861.12,975,Mar-22,PUNGGOL FIELD WALK,Resale,Strata,80,"10,500",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,01 to 05
ELIAS GREEN,"1,250,000","1,517.72",824,Mar-22,ELIAS GREEN,Resale,Strata,141,"8,865",-,Condominium,1,99 yrs lease commencing from 1991,18,Outside Central Region,01 to 05
HILLS TWOONE,"900,000",710.42,"1,267",Mar-22,HILLVIEW TERRACE,Resale,Strata,66,"13,636",-,Apartment,1,Freehold,23,Outside Central Region,01 to 05
RIVERBAY,"595,000",387.5,"1,535",Mar-22,MAR THOMA ROAD,Resale,Strata,36,"16,528",-,Apartment,1,999 yrs lease commencing from 1882,12,Rest of Central Region,06 to 10
AMARANDA GARDENS,"1,900,188","1,162.51","1,635",Mar-22,SERANGOON AVENUE 3,Resale,Strata,108,"17,594",-,Condominium,1,Freehold,19,Outside Central Region,01 to 05
MELVILLE PARK,"750,000",936.47,801,Mar-22,SIMEI STREET 1,Resale,Strata,87,"8,621",-,Condominium,1,99 yrs lease commencing from 1992,18,Outside Central Region,06 to 10
YIKAI COURT,"1,300,000","1,237.86","1,050",Mar-22,UPPER PAYA LEBAR ROAD,Resale,Strata,115,"11,304",-,Apartment,1,Freehold,19,Outside Central Region,01 to 05
THE PLAZA,"900,000",764.24,"1,178",Mar-22,BEACH ROAD,Resale,Strata,71,"12,676",-,Apartment,1,99 yrs lease commencing from 1968,07,Core Central Region,26 to 30
THOMSON GRAND,"2,300,000","1,410.08","1,631",Mar-22,SIN MING WALK,Resale,Strata,131,"17,557",-,Condominium,1,99 yrs lease commencing from 2010,20,Rest of Central Region,16 to 20
ESTELLA GARDENS,"1,100,000","1,119.46",983,Mar-22,FLORA ROAD,Resale,Strata,104,"10,577",-,Condominium,1,Freehold,17,Outside Central Region,01 to 05
BARTLEY RIDGE,"710,000",462.85,"1,534",Mar-22,MOUNT VERNON ROAD,Resale,Strata,43,"16,512",-,Condominium,1,99 yrs lease commencing from 2012,13,Rest of Central Region,06 to 10
SANT RITZ,"875,000",527.44,"1,659",Mar-22,PHENG GECK AVENUE,Resale,Strata,49,"17,857",-,Condominium,1,99 yrs lease commencing from 2012,13,Rest of Central Region,11 to 15
ADANA @ THOMSON,"1,030,000",559.73,"1,840",Mar-22,OLD UPPER THOMSON ROAD,Resale,Strata,52,"19,808",-,Apartment,1,Freehold,20,Outside Central Region,01 to 05
THE TENNERY,"730,000",613.55,"1,190",Mar-22,WOODLANDS ROAD,Resale,Strata,57,"12,807",-,Apartment,1,99 yrs lease commencing from 2010,23,Outside Central Region,06 to 10
RIPPLE BAY,"875,000",785.77,"1,114",Mar-22,PASIR RIS LINK,Resale,Strata,73,"11,986",-,Condominium,1,99 yrs lease commencing from 2011,18,Outside Central Region,01 to 05
PALM ISLES,"938,000",990.29,947,Mar-22,FLORA DRIVE,Resale,Strata,92,"10,196",-,Condominium,1,99 yrs lease commencing from 2011,17,Outside Central Region,01 to 05
SYMPHONY SUITES,"790,000",688.9,"1,147",Mar-22,YISHUN CLOSE,Resale,Strata,64,"12,344",-,Condominium,1,99 yrs lease commencing from 2014,27,Outside Central Region,01 to 05
SIN MING PLAZA,"1,980,000","1,517.72","1,305",Mar-22,SIN MING ROAD,Resale,Strata,141,"14,043",-,Apartment,1,Freehold,20,Rest of Central Region,01 to 05
THE NAUTICAL,"1,750,000","1,765.3",991,Mar-22,JALAN SENDUDOK,Resale,Strata,164,"10,671",-,Condominium,1,99 yrs lease commencing from 2011,27,Outside Central Region,01 to 05
HAZEL PARK CONDOMINIUM,"1,420,000","1,205.57","1,178",Mar-22,HAZEL PARK TERRACE,Resale,Strata,112,"12,679",-,Condominium,1,999 yrs lease commencing from 1882,23,Outside Central Region,01 to 05
THE AMBRA,"1,625,000","1,151.75","1,411",Mar-22,LORONG H TELOK KURAU,Resale,Strata,107,"15,187",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
TREVISTA,"1,205,000",861.12,"1,399",Mar-22,LORONG 3 TOA PAYOH,Resale,Strata,80,"15,063",-,Condominium,1,99 yrs lease commencing from 2008,12,Rest of Central Region,06 to 10
COSTA RHU,"2,850,000","2,055.92","1,386",Mar-22,RHU CROSS,Resale,Strata,191,"14,921",-,Condominium,1,99 yrs lease commencing from 1994,15,Rest of Central Region,11 to 15
SIMS URBAN OASIS,"1,070,000",667.37,"1,603",Mar-22,SIMS DRIVE,Resale,Strata,62,"17,258",-,Condominium,1,99 yrs lease commencing from 2014,14,Rest of Central Region,06 to 10
SIMS URBAN OASIS,"1,468,800",958,"1,533",Mar-22,SIMS DRIVE,Resale,Strata,89,"16,503",-,Condominium,1,99 yrs lease commencing from 2014,14,Rest of Central Region,11 to 15
SHELFORD SUITES,"2,400,000","1,291.68","1,858",Mar-22,SHELFORD ROAD,Resale,Strata,120,"20,000",-,Condominium,1,Freehold,11,Core Central Region,01 to 05
THE HILLFORD,"631,000",505.91,"1,247",Mar-22,JALAN JURONG KECHIL,Resale,Strata,47,"13,426",-,Apartment,1,60 yrs lease commencing from 2013,21,Rest of Central Region,01 to 05
SPOTTISWOODE 18,"850,000",387.5,"2,194",Mar-22,SPOTTISWOODE PARK ROAD,Resale,Strata,36,"23,611",-,Apartment,1,Freehold,02,Rest of Central Region,11 to 15
SOLEIL @ SINARAN,"3,408,000","1,722.24","1,979",Mar-22,SINARAN DRIVE,Resale,Strata,160,"21,300",-,Condominium,1,99 yrs lease commencing from 2006,11,Core Central Region,26 to 30
RIVERTREES RESIDENCES,"1,722,800","1,270.15","1,356",Mar-22,FERNVALE CLOSE,Resale,Strata,118,"14,600",-,Apartment,1,99 yrs lease commencing from 2013,28,Outside Central Region,16 to 20
EAST MEADOWS,"1,210,000","1,194.8","1,013",Mar-22,TANAH MERAH KECHIL ROAD,Resale,Strata,111,"10,901",-,Condominium,1,99 yrs lease commencing from 1998,16,Outside Central Region,06 to 10
NORTH PARK RESIDENCES,"1,370,000",828.83,"1,653",Mar-22,YISHUN CENTRAL 1,Resale,Strata,77,"17,792",-,Apartment,1,99 yrs lease commencing from 2015,27,Outside Central Region,01 to 05
THE VUE,"620,000",419.8,"1,477",Mar-22,UPPER PAYA LEBAR ROAD,Resale,Strata,39,"15,897",-,Apartment,1,Freehold,19,Outside Central Region,01 to 05
SILVERSEA,"2,780,000","1,571.54","1,769",Mar-22,MARINE PARADE ROAD,Resale,Strata,146,"19,041",-,Condominium,1,99 yrs lease commencing from 2007,15,Rest of Central Region,06 to 10
CANBERRA RESIDENCES,"680,000",613.55,"1,108",Mar-22,CANBERRA DRIVE,Resale,Strata,57,"11,930",-,Condominium,1,99 yrs lease commencing from 2010,27,Outside Central Region,01 to 05
YISHUN SAPPHIRE,"1,275,000","1,431.61",891,Mar-22,CANBERRA DRIVE,Resale,Strata,133,"9,586",-,Condominium,1,99 yrs lease commencing from 1998,27,Outside Central Region,01 to 05
SUNHAVEN,"1,400,000","1,280.92","1,093",Mar-22,UPPER CHANGI ROAD EAST,Resale,Strata,119,"11,765",-,Condominium,1,Freehold,16,Outside Central Region,01 to 05
THE NCLAVE,"1,710,000","1,517.72","1,127",Mar-22,LORONG N TELOK KURAU,Resale,Strata,141,"12,128",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
Q BAY RESIDENCES,"670,000",516.67,"1,297",Mar-22,TAMPINES STREET 86,Resale,Strata,48,"13,958",-,Condominium,1,99 yrs lease commencing from 2012,18,Outside Central Region,06 to 10
QUEENS PEAK,"1,500,000",807.3,"1,858",Mar-22,DUNDEE ROAD,Resale,Strata,75,"20,000",-,Condominium,1,99 yrs lease commencing from 2015,03,Rest of Central Region,16 to 20
CRADELS,"678,000",441.32,"1,536",Mar-22,LORONG LIMAU,Resale,Strata,41,"16,537",-,Apartment,1,Freehold,12,Rest of Central Region,06 to 10
AZALEA PARK CONDOMINIUM,"1,250,000","1,313.21",952,Mar-22,FLORA ROAD,Resale,Strata,122,"10,246",-,Condominium,1,999 yrs lease commencing from 1885,17,Outside Central Region,06 to 10
RESIDENCES @ KILLINEY,"2,320,000","1,054.87","2,199",Mar-22,KILLINEY ROAD,Resale,Strata,98,"23,673",-,Apartment,1,Freehold,09,Core Central Region,06 to 10
BALLOTA PARK CONDOMINIUM,"850,000",990.29,858,Mar-22,MARIAM WAY,Resale,Strata,92,"9,239",-,Condominium,1,Freehold,17,Outside Central Region,06 to 10
DOUBLE BAY RESIDENCES,"1,068,800",936.47,"1,141",Mar-22,SIMEI STREET 4,Resale,Strata,87,"12,285",-,Condominium,1,99 yrs lease commencing from 2008,18,Outside Central Region,06 to 10
THE NAVIAN,"1,450,000",904.18,"1,604",Mar-22,JALAN EUNOS,Resale,Strata,84,"17,262",-,Apartment,1,Freehold,14,Outside Central Region,01 to 05
NEWTON 18,"1,870,000",925.7,"2,020",Mar-22,NEWTON ROAD,Resale,Strata,86,"21,744",-,Apartment,1,Freehold,11,Core Central Region,26 to 30
COMMONWEALTH TOWERS,"2,090,000","1,076.4","1,942",Mar-22,COMMONWEALTH AVENUE,Resale,Strata,100,"20,900",-,Condominium,1,99 yrs lease commencing from 2013,03,Rest of Central Region,21 to 25
COMMONWEALTH TOWERS,"930,000",473.62,"1,964",Mar-22,COMMONWEALTH AVENUE,Resale,Strata,44,"21,136",-,Condominium,1,99 yrs lease commencing from 2013,03,Rest of Central Region,26 to 30
COMMONWEALTH TOWERS,"1,565,000",796.54,"1,965",Mar-22,COMMONWEALTH AVENUE,Resale,Strata,74,"21,149",-,Condominium,1,99 yrs lease commencing from 2013,03,Rest of Central Region,36 to 40
BENG TONG MANSION,"2,320,000","1,151.75","2,014",Mar-22,TANJONG KATONG ROAD,Resale,Strata,107,"21,682",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
OKIO,"888,000",592.02,"1,500",Mar-22,BALESTIER ROAD,Resale,Strata,55,"16,145",-,Apartment,1,Freehold,12,Rest of Central Region,06 to 10
EVERGREEN PARK,"1,150,000","1,367.03",841,Mar-22,HOUGANG AVENUE 7,Resale,Strata,127,"9,055",-,Apartment,1,99 yrs lease commencing from 1995,19,Outside Central Region,06 to 10
BEACON HEIGHTS,"1,220,000",893.41,"1,366",Mar-22,MAR THOMA ROAD,Resale,Strata,83,"14,699",-,Condominium,1,999 yrs lease commencing from 1882,12,Rest of Central Region,21 to 25
EIGHT RIVERSUITES,"1,139,998",699.66,"1,629",Mar-22,WHAMPOA EAST,Resale,Strata,65,"17,538",-,Condominium,1,99 yrs lease commencing from 2011,12,Rest of Central Region,21 to 25
BALLOTA PARK CONDOMINIUM,"1,288,800","1,453.14",887,Mar-22,MARIAM WAY,Resale,Strata,135,"9,547",-,Condominium,1,Freehold,17,Outside Central Region,01 to 05
CONCOURSE SKYLINE,"2,080,000","1,087.16","1,913",Mar-22,BEACH ROAD,Resale,Strata,101,"20,594",-,Apartment,1,99 yrs lease commencing from 2008,07,Core Central Region,26 to 30
BARTLEY RIDGE,"737,000",441.32,"1,670",Mar-22,MOUNT VERNON ROAD,Resale,Strata,41,"17,976",-,Condominium,1,99 yrs lease commencing from 2012,13,Rest of Central Region,16 to 20
LE MERRITT,"1,538,000",990.29,"1,553",Mar-22,LORONG M TELOK KURAU,Resale,Strata,92,"16,717",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
WATERTOWN,"845,000",581.26,"1,454",Mar-22,PUNGGOL CENTRAL,Resale,Strata,54,"15,648",-,Apartment,1,99 yrs lease commencing from 2011,19,Outside Central Region,01 to 05
ASTON MANSIONS,"1,238,000","1,302.44",951,Mar-22,LORONG 42 GEYLANG,Resale,Strata,121,"10,231",-,Apartment,1,99 yrs lease commencing from 1995,14,Rest of Central Region,01 to 05
THE CITRON RESIDENCES,"1,490,000",914.94,"1,629",Mar-22,MARNE ROAD,Resale,Strata,85,"17,529",-,Apartment,1,Freehold,08,Rest of Central Region,01 to 05
THE MILTONIA RESIDENCES,"955,000",936.47,"1,020",Mar-22,MILTONIA CLOSE,Resale,Strata,87,"10,977",-,Condominium,1,99 yrs lease commencing from 2010,27,Outside Central Region,01 to 05
SKIES MILTONIA,"1,000,000",968.76,"1,032",Mar-22,MILTONIA CLOSE,Resale,Strata,90,"11,111",-,Condominium,1,99 yrs lease commencing from 2012,27,Outside Central Region,01 to 05
PALM GARDENS,"960,000","1,205.57",796,Mar-22,HONG SAN WALK,Resale,Strata,112,"8,571",-,Condominium,1,99 yrs lease commencing from 1996,23,Outside Central Region,11 to 15
THE BAYSHORE,"1,030,000",947.23,"1,087",Mar-22,BAYSHORE ROAD,Resale,Strata,88,"11,705",-,Condominium,1,99 yrs lease commencing from 1993,16,Outside Central Region,01 to 05
LANDBAY CONDOMINIUM,"1,700,000","1,184.04","1,436",Mar-22,JALAN HAJIJAH,Resale,Strata,110,"15,455",-,Condominium,1,Freehold,16,Outside Central Region,01 to 05
LEEDON RESIDENCE,"2,680,000","1,044.11","2,567",Mar-22,LEEDON HEIGHTS,Resale,Strata,97,"27,629",-,Condominium,1,Freehold,10,Core Central Region,01 to 05
LA FIESTA,"1,210,000",893.41,"1,354",Mar-22,SENGKANG SQUARE,Resale,Strata,83,"14,578",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,11 to 15
MARINA ONE RESIDENCES,"3,098,180","1,162.51","2,665",Mar-22,MARINA WAY,Resale,Strata,108,"28,687",-,Apartment,1,99 yrs lease commencing from 2011,01,Core Central Region,31 to 35
SPACE @ KOVAN,"865,000",635.08,"1,362",Mar-22,YIO CHU KANG ROAD,Resale,Strata,59,"14,661",-,Apartment,1,Freehold,19,Outside Central Region,01 to 05
1919,"1,575,000",785.77,"2,004",Mar-22,SOPHIA ROAD,Resale,Strata,73,"21,575",-,Apartment,1,Freehold,09,Core Central Region,01 to 05
PRINCIPAL GARDEN,"900,000",495.14,"1,818",Mar-22,PRINCE CHARLES CRESCENT,Resale,Strata,46,"19,565",-,Condominium,1,99 yrs lease commencing from 2014,03,Rest of Central Region,21 to 25
COSTA DEL SOL,"1,900,000","1,313.21","1,447",Mar-22,BAYSHORE ROAD,Resale,Strata,122,"15,574",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,01 to 05
IVORY,"1,350,000","1,011.82","1,334",Mar-22,CEYLON LANE,Resale,Strata,94,"14,362",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
WATERVIEW,"1,600,000","1,216.33","1,315",Mar-22,TAMPINES AVENUE 1,Resale,Strata,113,"14,159",-,Condominium,1,99 yrs lease commencing from 2010,18,Outside Central Region,11 to 15
D'NEST,"1,680,000","1,410.08","1,191",Mar-22,PASIR RIS GROVE,Resale,Strata,131,"12,824",-,Condominium,1,99 yrs lease commencing from 2010,18,Outside Central Region,06 to 10
ASCENTIA SKY,"1,635,000",947.23,"1,726",Mar-22,ALEXANDRA VIEW,Resale,Strata,88,"18,580",-,Condominium,1,99 yrs lease commencing from 2008,03,Rest of Central Region,11 to 15
SILAHIS APARTMENTS,"1,715,000","1,291.68","1,328",Mar-22,LORONG K TELOK KURAU,Resale,Strata,120,"14,292",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
HELIOS RESIDENCES,"2,838,000","1,280.92","2,216",Mar-22,CAIRNHILL CIRCLE,Resale,Strata,119,"23,849",-,Apartment,1,Freehold,09,Core Central Region,11 to 15
BARTLEY RESIDENCES,"1,720,000","1,270.15","1,354",Mar-22,LORONG HOW SUN,Resale,Strata,118,"14,576",-,Apartment,1,99 yrs lease commencing from 2011,19,Outside Central Region,01 to 05
FLORAVILLE,"1,520,000","1,205.57","1,261",Mar-22,CACTUS ROAD,Resale,Strata,112,"13,571",-,Apartment,1,Freehold,28,Outside Central Region,01 to 05
2 RVG,"1,900,000",925.7,"2,052",Mar-22,RIVER VALLEY GROVE,Resale,Strata,86,"22,093",-,Apartment,1,Freehold,09,Core Central Region,06 to 10
HIGH PARK RESIDENCES,"990,000",731.95,"1,353",Mar-22,FERNVALE ROAD,Resale,Strata,68,"14,559",-,Apartment,1,99 yrs lease commencing from 2014,28,Outside Central Region,16 to 20
GOODWOOD RESIDENCE,"9,100,000","3,907.33","2,329",Mar-22,BUKIT TIMAH ROAD,Resale,Strata,363,"25,069",-,Condominium,1,Freehold,10,Core Central Region,01 to 05
THE LUXURIE,"990,000",775.01,"1,277",Mar-22,COMPASSVALE ROAD,Resale,Strata,72,"13,750",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,11 to 15
SCOTTS 28,"2,250,000","1,097.93","2,049",Mar-22,SCOTTS ROAD,Resale,Strata,102,"22,059",-,Condominium,1,Freehold,09,Core Central Region,06 to 10
MELVILLE PARK,"840,000","1,044.11",805,Mar-22,SIMEI STREET 1,Resale,Strata,97,"8,660",-,Condominium,1,99 yrs lease commencing from 1992,18,Outside Central Region,06 to 10
H2O RESIDENCES,"940,000",882.65,"1,065",Mar-22,FERNVALE LINK,Resale,Strata,82,"11,463",-,Condominium,1,99 yrs lease commencing from 2010,28,Outside Central Region,06 to 10
MERA EAST,"1,620,000","1,280.92","1,265",Mar-22,CHANGI ROAD,Resale,Strata,119,"13,613",-,Apartment,1,Freehold,14,Outside Central Region,01 to 05
MARTIN NO 38,"2,750,000","1,130.22","2,433",Mar-22,MARTIN ROAD,Resale,Strata,105,"26,190",-,Apartment,1,Freehold,09,Core Central Region,06 to 10
VALLEY PARK,"3,470,000","1,700.71","2,040",Mar-22,RIVER VALLEY ROAD,Resale,Strata,158,"21,962",-,Condominium,1,999 yrs lease commencing from 1877,10,Core Central Region,16 to 20
RIVERVALE CREST,"806,000",968.76,832,Mar-22,RIVERVALE CRESCENT,Resale,Strata,90,"8,956",-,Apartment,1,99 yrs lease commencing from 1997,19,Outside Central Region,06 to 10
VARSITY PARK CONDOMINIUM,"1,900,000","1,496.2","1,270",Mar-22,WEST COAST ROAD,Resale,Strata,139,"13,669",-,Condominium,1,99 yrs lease commencing from 2004,05,Outside Central Region,01 to 05
THE LINE @ TANJONG RHU,"2,385,708","1,065.64","2,239",Mar-22,TANJONG RHU ROAD,Resale,Strata,99,"24,098",-,Condominium,1,Freehold,15,Rest of Central Region,06 to 10
LA FIESTA,"962,000",731.95,"1,314",Mar-22,SENGKANG SQUARE,Resale,Strata,68,"14,147",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,01 to 05
LA FIESTA,"940,000",731.95,"1,284",Mar-22,SENGKANG SQUARE,Resale,Strata,68,"13,824",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,01 to 05
HILLSTA,"895,000",753.48,"1,188",Mar-22,PHOENIX ROAD,Resale,Strata,70,"12,786",-,Condominium,1,99 yrs lease commencing from 2011,23,Outside Central Region,06 to 10
TWIN VEW,"2,400,000","1,517.72","1,581",Mar-22,WEST COAST VALE,Resale,Strata,141,"17,021",-,Apartment,1,99 yrs lease commencing from 2017,05,Outside Central Region,11 to 15
PRINCIPAL GARDEN,"2,300,000","1,194.8","1,925",Mar-22,PRINCE CHARLES CRESCENT,Resale,Strata,111,"20,721",-,Condominium,1,99 yrs lease commencing from 2014,03,Rest of Central Region,01 to 05
NV RESIDENCES,"1,500,000","1,453.14","1,032",Mar-22,PASIR RIS GROVE,Resale,Strata,135,"11,111",-,Condominium,1,99 yrs lease commencing from 2008,18,Outside Central Region,06 to 10
SEAHILL,"1,380,000","1,087.16","1,269",Mar-22,WEST COAST CRESCENT,Resale,Strata,101,"13,663",-,Condominium,1,99 yrs lease commencing from 2011,05,Outside Central Region,06 to 10
QUEENS,"1,360,000",914.94,"1,486",Mar-22,STIRLING ROAD,Resale,Strata,85,"16,000",-,Condominium,1,99 yrs lease commencing from 1998,03,Rest of Central Region,16 to 20
THE ASTON,"1,110,000",678.13,"1,637",Mar-22,KAY POH ROAD,Resale,Strata,63,"17,619",-,Apartment,1,Freehold,10,Core Central Region,01 to 05
BUTTERWORTH VIEW,"1,820,000","1,227.1","1,483",Mar-22,BUTTERWORTH LANE,Resale,Strata,114,"15,965",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
THE COAST AT SENTOSA COVE,"3,430,000","2,077.45","1,651",Mar-22,OCEAN DRIVE,Resale,Strata,193,"17,772",-,Condominium,1,99 yrs lease commencing from 2006,04,Core Central Region,01 to 05
SILVERSCAPE,"616,000",409.03,"1,506",Mar-22,LORONG 32 GEYLANG,Resale,Strata,38,"16,211",-,Apartment,1,Freehold,14,Rest of Central Region,06 to 10
FLORAVIEW,"1,500,000","1,237.86","1,212",Mar-22,ANG MO KIO STREET 66,Resale,Strata,115,"13,043",-,Apartment,1,Freehold,20,Outside Central Region,01 to 05
FABER CREST,"1,320,000","1,280.92","1,031",Mar-22,FABER HEIGHTS,Resale,Strata,119,"11,092",-,Condominium,1,99 yrs lease commencing from 1996,05,Outside Central Region,01 to 05
REGENT HEIGHTS,"1,065,000","1,162.51",916,Mar-22,BUKIT BATOK EAST AVENUE 5,Resale,Strata,108,"9,861",-,Condominium,1,99 yrs lease commencing from 1995,23,Outside Central Region,16 to 20
CASA MERAH,"1,200,000",958,"1,253",Mar-22,TANAH MERAH KECHIL AVENUE,Resale,Strata,89,"13,483",-,Apartment,1,99 yrs lease commencing from 2006,16,Outside Central Region,11 to 15
THE CRISTALLO,"730,000",516.67,"1,413",Mar-22,LORONG K TELOK KURAU,Resale,Strata,48,"15,208",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
TANAMERA CREST,"1,050,000","1,173.28",895,Mar-22,PARI DEDAP WALK,Resale,Strata,109,"9,633",-,Condominium,1,99 yrs lease commencing from 2000,16,Outside Central Region,06 to 10
HEDGES PARK CONDOMINIUM,"868,000",796.54,"1,090",Mar-22,FLORA DRIVE,Resale,Strata,74,"11,730",-,Condominium,1,99 yrs lease commencing from 2010,17,Outside Central Region,01 to 05
THE WATERSIDE,"4,360,000","2,432.66","1,792",Mar-22,TANJONG RHU ROAD,Resale,Strata,226,"19,292",-,Condominium,1,Freehold,15,Rest of Central Region,21 to 25
BALLOTA PARK CONDOMINIUM,"850,000",990.29,858,Mar-22,MARIAM WAY,Resale,Strata,92,"9,239",-,Condominium,1,Freehold,17,Outside Central Region,06 to 10
WOODSVILLE 28,"1,230,000",882.65,"1,394",Mar-22,WOODSVILLE CLOSE,Resale,Strata,82,"15,000",-,Apartment,1,99 yrs lease commencing from 2007,13,Rest of Central Region,11 to 15
THE MILTONIA RESIDENCES,"1,900,000","2,077.45",915,Mar-22,MILTONIA CLOSE,Resale,Strata,193,"9,845",-,Condominium,1,99 yrs lease commencing from 2010,27,Outside Central Region,01 to 05
